Customer_ID,Product_Holding_B2
CC314959,"['P17', 'P8', 'P12']"
CC251211,"['P4', 'P8', 'P10']"
CC367452,"['P12', 'P8', 'P00']"
CC368875,"['P10', 'P12', 'P8']"
CC204673,"['P17', 'P12', 'P8']"
CC394480,"['P00', 'P8', 'P12']"
CC288379,"['P16', 'P1', 'P8']"
CC378867,"['P17', 'P8', 'P12']"
CC270676,"['P17', 'P8', 'P12']"
CC396266,"['P12', 'P8', 'P00']"
CC287129,"['P10', 'P8', 'P12']"
CC275692,"['P17', 'P12', 'P8']"
CC243760,"['P17', 'P8', 'P12']"
CC271637,"['P17', 'P12', 'P8']"
CC243526,"['P10', 'P8', 'P21']"
CC258491,"['P17', 'P12', 'P8']"
CC208121,"['P6', 'P12', 'P8']"
CC391360,"['P17', 'P12', 'P8']"
CC257798,"['P20', 'P10', 'P8']"
CC295483,"['P17', 'P8', 'P12']"
CC397247,"['P12', 'P8', 'P00']"
CC345395,"['P13', 'P11', 'P16']"
CC261661,"['P21', 'P8', 'P12']"
CC230417,"['P17', 'P8', 'P12']"
CC281435,"['P6', 'P17', 'P12']"
CC212820,"['P12', 'P8', 'P00']"
CC385101,"['P6', 'P12', 'P8']"
CC378939,"['P17', 'P8', 'P12']"
CC297186,"['P6', 'P17', 'P12']"
CC242982,"['P10', 'P8', 'P12']"
CC241226,"['P12', 'P8', 'P00']"
CC222094,"['P6', 'P10', 'P8']"
CC244802,"['P6', 'P12', 'P8']"
CC382245,"['P13', 'P16', 'P8']"
CC386278,"['P19', 'P8', 'P16']"
CC386265,"['P19', 'P8', 'P16']"
CC311464,"['P17', 'P8', 'P12']"
CC211490,"['P13', 'P16', 'P12']"
CC267062,"['P6', 'P17', 'P12']"
CC379149,"['P17', 'P12', 'P8']"
CC244764,"['P17', 'P12', 'P8']"
CC378116,"['P10', 'P8', 'P21']"
CC265570,"['P10', 'P8', 'P12']"
CC237027,"['P17', 'P8', 'P12']"
CC376866,"['P17', 'P8', 'P12']"
CC314835,"['P17', 'P8', 'P12']"
CC309604,"['P10', 'P12', 'P6']"
CC384045,"['P12', 'P8', 'P00']"
CC395605,"['P6', 'P8', 'P00']"
CC340231,"['P13', 'P8', 'P16']"
CC381815,"['P17', 'P8', 'P12']"
CC385926,"['P19', 'P8', 'P16']"
CC396766,"['P17', 'P12', 'P8']"
CC262868,"['P10', 'P8', 'P21']"
CC380640,"['P17', 'P8', 'P12']"
CC255954,"['P4', 'P8', 'P10']"
CC329449,"['P16', 'P8', 'P00']"
CC271123,"['P17', 'P12', 'P8']"
CC269873,"['P12', 'P8', 'P00']"
CC216852,"['P12', 'P8', 'P00']"
CC351713,"['P19', 'P16', 'P13']"
CC324687,"['P16', 'P8', 'P00']"
CC384032,"['P12', 'P8', 'P16']"
CC386491,"['P19', 'P8', 'P16']"
CC238950,"['P10', 'P8', 'P21']"
CC394746,"['P17', 'P8', 'P12']"
CC344243,"['P19', 'P16', 'P13']"
CC369730,"['P12', 'P8', 'P00']"
CC227620,"['P20', 'P8', 'P12']"
CC258539,"['P6', 'P10', 'P12']"
CC294615,"['P10', 'P12', 'P6']"
CC218104,"['P17', 'P8', 'P12']"
CC326675,"['P16', 'P8', 'P00']"
CC227415,"['P17', 'P21', 'P8']"
CC375377,"['P6', 'P12', 'P8']"
CC210798,"['P17', 'P8', 'P12']"
CC372398,"['P10', 'P12', 'P8']"
CC371099,"['P17', 'P21', 'P8']"
CC260547,"['P10', 'P8', 'P21']"
CC313736,"['P17', 'P8', 'P12']"
CC213716,"['P17', 'P12', 'P8']"
CC297532,"['P17', 'P12', 'P8']"
CC392696,"['P12', 'P8', 'P00']"
CC360412,"['P8', 'P12', 'P16']"
CC288280,"['P17', 'P12', 'P8']"
CC362828,"['P8', 'P12', 'P16']"
CC338181,"['P8', 'P16', 'P13']"
CC394849,"['P17', 'P12', 'P8']"
CC199341,"['P12', 'P8', 'P00']"
CC350059,"['P16', 'P8', 'P00']"
CC278005,"['P17', 'P12', 'P8']"
CC211010,"['P10', 'P17', 'P12']"
CC312886,"['P10', 'P8', 'P21']"
CC248080,"['P10', 'P12', 'P8']"
CC371857,"['P10', 'P8', 'P12']"
CC235653,"['P00', 'P8', 'P12']"
CC377291,"['P10', 'P8', 'P21']"
CC267830,"['P17', 'P8', 'P21']"
CC392468,"['P12', 'P8', 'P00']"
CC386730,"['P19', 'P8', 'P16']"
CC368263,"['P10', 'P8', 'P21']"
CC205551,"['P4', 'P8', 'P10']"
CC208426,"['P12', 'P8', 'P00']"
CC220080,"['P17', 'P8', 'P12']"
CC388741,"['P17', 'P8', 'P12']"
CC305082,"['P17', 'P12', 'P8']"
CC343019,"['P19', 'P16', 'P13']"
CC278791,"['P10', 'P17', 'P12']"
CC321574,"['P19', 'P16', 'P13']"
CC394639,"['P12', 'P8', 'P00']"
CC269209,"['P10', 'P8', 'P12']"
CC335243,"['P19', 'P16', 'P13']"
CC254967,"['P10', 'P12', 'P6']"
CC317871,"['P17', 'P8', 'P12']"
CC296900,"['P10', 'P12', 'P8']"
CC381465,"['P12', 'P8', 'P13']"
CC278088,"['P17', 'P12', 'P8']"
CC296544,"['P6', 'P12', 'P8']"
CC285111,"['P17', 'P12', 'P8']"
CC271761,"['P17', 'P21', 'P8']"
CC386653,"['P19', 'P8', 'P16']"
CC347788,"['P19', 'P16', 'P13']"
CC314769,"['P17', 'P8', 'P12']"
CC392061,"['P17', 'P12', 'P8']"
CC376448,"['P4', 'P8', 'P10']"
CC388912,"['P20', 'P8', 'P12']"
CC383918,"['P19', 'P8', 'P16']"
CC226863,"['P6', 'P17', 'P12']"
CC379584,"['P17', 'P21', 'P8']"
CC374059,"['P17', 'P8', 'P12']"
CC346047,"['P16', 'P1', 'P8']"
CC376365,"['P17', 'P8', 'P12']"
CC209327,"['P6', 'P10', 'P21']"
CC221111,"['P17', 'P21', 'P8']"
CC370134,"['P4', 'P8', 'P10']"
CC294955,"['P10', 'P12', 'P8']"
CC294495,"['P6', 'P17', 'P12']"
CC322964,"['P8', 'P13', 'P16']"
CC265796,"['P10', 'P12', 'P8']"
CC383208,"['P19', 'P8', 'P16']"
CC237431,"['P17', 'P21', 'P8']"
CC232700,"['P10', 'P12', 'P8']"
CC396063,"['P12', 'P8', 'P00']"
CC257531,"['P21', 'P8', 'P12']"
CC314619,"['P20', 'P21', 'P8']"
CC378003,"['P17', 'P8', 'P12']"
CC281360,"['P17', 'P8', 'P12']"
CC390432,"['P6', 'P12', 'P8']"
CC380596,"['P17', 'P8', 'P21']"
CC226099,"['P10', 'P8', 'P21']"
CC220681,"['P20', 'P12', 'P8']"
CC249373,"['P21', 'P17', 'P12']"
CC389153,"['P17', 'P12', 'P8']"
CC388486,"['P19', 'P8', 'P16']"
CC384326,"['P19', 'P8', 'P16']"
CC371696,"['P6', 'P12', 'P8']"
CC298117,"['P6', 'P12', 'P8']"
CC391562,"['P6', 'P12', 'P8']"
CC376336,"['P10', 'P8', 'P12']"
CC372238,"['P12', 'P8', 'P00']"
CC291807,"['P17', 'P12', 'P8']"
CC315082,"['P20', 'P8', 'P12']"
CC395580,"['P17', 'P8', 'P12']"
CC394084,"['P12', 'P8', 'P00']"
CC370033,"['P13', 'P8', 'P16']"
CC388141,"['P13', 'P11', 'P16']"
CC359910,"['P8', 'P12', 'P13']"
CC269321,"['P13', 'P21', 'P16']"
CC395153,"['P12', 'P8', 'P00']"
CC268138,"['P10', 'P8', 'P21']"
CC389477,"['P8', 'P16', 'P12']"
CC396526,"['P00', 'P8', 'P12']"
CC298124,"['P17', 'P8', 'P12']"
CC208338,"['P10', 'P8', 'P12']"
CC376865,"['P17', 'P21', 'P8']"
CC395062,"['P12', 'P8', 'P00']"
CC277583,"['P10', 'P8', 'P12']"
CC389629,"['P8', 'P12', 'P16']"
CC208674,"['P17', 'P8', 'P12']"
CC384927,"['P13', 'P16', 'P8']"
CC386167,"['P19', 'P8', 'P16']"
CC253000,"['P6', 'P12', 'P8']"
CC252739,"['P17', 'P12', 'P8']"
CC215926,"['P13', 'P8', 'P21']"
CC397381,"['P17', 'P8', 'P12']"
CC369168,"['P12', 'P8', 'P00']"
CC379383,"['P10', 'P8', 'P12']"
CC356471,"['P16', 'P12', 'P8']"
CC333096,"['P16', 'P8', 'P00']"
CC381482,"['P21', 'P12', 'P8']"
CC376706,"['P10', 'P12', 'P8']"
CC259705,"['P17', 'P12', 'P8']"
CC212904,"['P12', 'P8', 'P00']"
CC327673,"['P19', 'P16', 'P13']"
CC270361,"['P17', 'P12', 'P8']"
CC377254,"['P10', 'P8', 'P12']"
CC330578,"['P19', 'P16', 'P13']"
CC271358,"['P10', 'P8', 'P12']"
CC300906,"['P6', 'P12', 'P8']"
CC269837,"['P21', 'P8', 'P10']"
CC228833,"['P21', 'P17', 'P8']"
CC207441,"['P17', 'P12', 'P8']"
CC308215,"['P10', 'P12', 'P6']"
CC377581,"['P6', 'P12', 'P8']"
CC256030,"['P20', 'P10', 'P8']"
CC382395,"['P19', 'P8', 'P13']"
CC235542,"['P17', 'P8', 'P12']"
CC216873,"['P12', 'P8', 'P00']"
CC218958,"['P17', 'P21', 'P8']"
CC387333,"['P19', 'P8', 'P16']"
CC262790,"['P17', 'P12', 'P8']"
CC255429,"['P10', 'P8', 'P12']"
CC387732,"['P8', 'P12', 'P16']"
CC375327,"['P10', 'P8', 'P12']"
CC372435,"['P10', 'P8', 'P12']"
CC396875,"['P17', 'P12', 'P8']"
CC229584,"['P17', 'P21', 'P12']"
CC392653,"['P12', 'P8', 'P00']"
CC378648,"['P17', 'P8', 'P12']"
CC265996,"['P17', 'P8', 'P12']"
CC322025,"['P8', 'P13', 'P16']"
CC202387,"['P12', 'P8', 'P00']"
CC240108,"['P20', 'P12', 'P8']"
CC331859,"['P19', 'P16', 'P13']"
CC217005,"['P21', 'P8', 'P12']"
CC226107,"['P12', 'P8', 'P00']"
CC205319,"['P4', 'P8', 'P10']"
CC280112,"['P6', 'P21', 'P8']"
CC343511,"['P19', 'P16', 'P13']"
CC312255,"['P17', 'P8', 'P12']"
CC368978,"['P13', 'P8', 'P16']"
CC370597,"['P6', 'P12', 'P8']"
CC384625,"['P19', 'P8', 'P16']"
CC283152,"['P6', 'P12', 'P8']"
CC291554,"['P13', 'P8', 'P16']"
CC380144,"['P17', 'P8', 'P12']"
CC276105,"['P21', 'P20', 'P12']"
CC395510,"['P17', 'P12', 'P8']"
CC201332,"['P21', 'P8', 'P12']"
CC223492,"['P12', 'P8', 'P00']"
CC384725,"['P13', 'P16', 'P11']"
CC310512,"['P17', 'P8', 'P12']"
CC341382,"['P16', 'P1', 'P8']"
CC391353,"['P17', 'P12', 'P8']"
CC394201,"['P00', 'P8', 'P12']"
CC368709,"['P17', 'P8', 'P12']"
CC373706,"['P17', 'P21', 'P8']"
CC234306,"['P17', 'P12', 'P8']"
CC223323,"['P21', 'P8', 'P12']"
CC372196,"['P10', 'P12', 'P8']"
CC367755,"['P10', 'P8', 'P12']"
CC286958,"['P17', 'P8', 'P12']"
CC275106,"['P4', 'P8', 'P10']"
CC239661,"['P10', 'P8', 'P12']"
CC206269,"['P6', 'P8', 'P10']"
CC388890,"['P17', 'P12', 'P8']"
CC397340,"['P12', 'P8', 'P00']"
CC282300,"['P10', 'P8', 'P21']"
CC206519,"['P6', 'P21', 'P8']"
CC378257,"['P21', 'P8', 'P10']"
CC364652,"['P10', 'P8', 'P12']"
CC288885,"['P17', 'P8', 'P12']"
CC219069,"['P6', 'P21', 'P8']"
CC318438,"['P16', 'P1', 'P8']"
CC294952,"['P17', 'P12', 'P8']"
CC375104,"['P17', 'P8', 'P21']"
CC380258,"['P6', 'P12', 'P8']"
CC375015,"['P10', 'P8', 'P21']"
CC372865,"['P00', 'P8', 'P12']"
CC224454,"['P12', 'P8', 'P00']"
CC397024,"['P17', 'P8', 'P12']"
CC214067,"['P4', 'P8', 'P10']"
CC281289,"['P20', 'P12', 'P8']"
CC320879,"['P21', 'P8', 'P16']"
CC393803,"['P17', 'P8', 'P12']"
CC383181,"['P16', 'P13', 'P11']"
CC365624,"['P17', 'P12', 'P8']"
CC288315,"['P6', 'P8', 'P12']"
CC374760,"['P17', 'P8', 'P12']"
CC207206,"['P6', 'P8', 'P21']"
CC312729,"['P17', 'P8', 'P12']"
CC395611,"['P12', 'P8', 'P00']"
CC392681,"['P12', 'P8', 'P00']"
CC233081,"['P6', 'P10', 'P8']"
CC291608,"['P12', 'P8', 'P00']"
CC303744,"['P20', 'P8', 'P12']"
CC326292,"['P19', 'P16', 'P13']"
CC312709,"['P17', 'P12', 'P8']"
CC244707,"['P21', 'P17', 'P12']"
CC311097,"['P17', 'P8', 'P12']"
CC209530,"['P6', 'P17', 'P12']"
CC202768,"['P10', 'P8', 'P21']"
CC200769,"['P17', 'P12', 'P8']"
CC383359,"['P19', 'P8', 'P16']"
CC284046,"['P21', 'P17', 'P12']"
CC289410,"['P12', 'P8', 'P00']"
CC385634,"['P19', 'P8', 'P16']"
CC292203,"['P17', 'P12', 'P8']"
CC260190,"['P6', 'P10', 'P12']"
CC198738,"['P3', 'P6', 'P21']"
CC311500,"['P17', 'P8', 'P12']"
CC367439,"['P10', 'P8', 'P12']"
CC296836,"['P17', 'P12', 'P8']"
CC290775,"['P16', 'P1', 'P8']"
CC287616,"['P17', 'P12', 'P8']"
CC371191,"['P10', 'P8', 'P12']"
CC373518,"['P21', 'P8', 'P10']"
CC303090,"['P17', 'P12', 'P8']"
CC358706,"['P17', 'P12', 'P8']"
CC206490,"['P10', 'P8', 'P12']"
CC267279,"['P10', 'P8', 'P12']"
CC216369,"['P6', 'P8', 'P4']"
CC211844,"['P6', 'P4', 'P8']"
CC283675,"['P10', 'P8', 'P21']"
CC393434,"['P17', 'P12', 'P8']"
CC387434,"['P12', 'P8', 'P00']"
CC372676,"['P17', 'P8', 'P12']"
CC262558,"['P17', 'P21', 'P8']"
CC202582,"['P6', 'P21', 'P8']"
CC353749,"['P16', 'P13', 'P8']"
CC247255,"['P17', 'P12', 'P8']"
CC361846,"['P17', 'P8', 'P12']"
CC383671,"['P19', 'P8', 'P16']"
CC315127,"['P20', 'P8', 'P12']"
CC387362,"['P19', 'P8', 'P16']"
CC380072,"['P17', 'P12', 'P8']"
CC373018,"['P10', 'P12', 'P8']"
CC314422,"['P17', 'P8', 'P12']"
CC354338,"['P19', 'P16', 'P13']"
CC215381,"['P12', 'P8', 'P00']"
CC351946,"['P19', 'P16', 'P13']"
CC376370,"['P17', 'P8', 'P12']"
CC316276,"['P17', 'P8', 'P12']"
CC333953,"['P13', 'P16', 'P8']"
CC249761,"['P4', 'P10', 'P8']"
CC397420,"['P12', 'P8', 'P00']"
CC227288,"['P6', 'P17', 'P12']"
CC232796,"['P6', 'P12', 'P8']"
CC376410,"['P17', 'P12', 'P8']"
CC301521,"['P4', 'P8', 'P10']"
CC377540,"['P10', 'P8', 'P12']"
CC397288,"['P17', 'P12', 'P8']"
CC251845,"['P10', 'P8', 'P21']"
CC319374,"['P21', 'P8', 'P13']"
CC222151,"['P4', 'P10', 'P8']"
CC393083,"['P12', 'P8', 'P00']"
CC223844,"['P12', 'P8', 'P00']"
CC338166,"['P13', 'P16', 'P8']"
CC314981,"['P17', 'P8', 'P12']"
CC219922,"['P16', 'P8', 'P13']"
CC371506,"['P17', 'P21', 'P8']"
CC373785,"['P10', 'P12', 'P8']"
CC266929,"['P17', 'P8', 'P12']"
CC316384,"['P16', 'P8', 'P00']"
CC369619,"['P17', 'P12', 'P8']"
CC278053,"['P21', 'P17', 'P12']"
CC288932,"['P8', 'P16', 'P12']"
CC386496,"['P19', 'P8', 'P16']"
CC390991,"['P17', 'P12', 'P8']"
CC298415,"['P17', 'P8', 'P12']"
CC282636,"['P12', 'P8', 'P00']"
CC241360,"['P6', 'P21', 'P8']"
CC292170,"['P17', 'P12', 'P8']"
CC328063,"['P16', 'P8', 'P00']"
CC323751,"['P13', 'P16', 'P11']"
CC369116,"['P12', 'P8', 'P13']"
CC209291,"['P16', 'P8', 'P00']"
CC374152,"['P17', 'P8', 'P12']"
CC242859,"['P10', 'P8', 'P12']"
CC293915,"['P17', 'P8', 'P12']"
CC223898,"['P6', 'P17', 'P12']"
CC393874,"['P6', 'P12', 'P8']"
CC291126,"['P17', 'P21', 'P8']"
CC229012,"['P6', 'P17', 'P12']"
CC229620,"['P21', 'P8', 'P12']"
CC314941,"['P4', 'P8', 'P10']"
CC356028,"['P13', 'P8', 'P16']"
CC308198,"['P17', 'P8', 'P12']"
CC361783,"['P8', 'P12', 'P16']"
CC394503,"['P12', 'P8', 'P00']"
CC200615,"['P17', 'P6', 'P21']"
CC382874,"['P13', 'P8', 'P16']"
CC282164,"['P17', 'P8', 'P12']"
CC394635,"['P17', 'P8', 'P12']"
CC387147,"['P19', 'P8', 'P16']"
CC295980,"['P6', 'P8', 'P4']"
CC278817,"['P17', 'P12', 'P8']"
CC346733,"['P19', 'P16', 'P13']"
CC227581,"['P6', 'P12', 'P8']"
CC204059,"['P17', 'P8', 'P21']"
CC306626,"['P17', 'P8', 'P12']"
CC376882,"['P17', 'P21', 'P8']"
CC378974,"['P17', 'P12', 'P8']"
CC378873,"['P17', 'P12', 'P8']"
CC386718,"['P19', 'P8', 'P16']"
CC369272,"['P6', 'P12', 'P8']"
CC375574,"['P10', 'P12', 'P8']"
CC334771,"['P19', 'P16', 'P13']"
CC232084,"['P17', 'P12', 'P8']"
CC223516,"['P10', 'P12', 'P8']"
CC304073,"['P17', 'P8', 'P12']"
CC302478,"['P17', 'P8', 'P00']"
CC333083,"['P19', 'P16', 'P13']"
CC314371,"['P6', 'P12', 'P8']"
CC319599,"['P19', 'P16', 'P13']"
CC316481,"['P00', 'P8', 'P12']"
CC371251,"['P6', 'P12', 'P8']"
CC377976,"['P10', 'P12', 'P8']"
CC307462,"['P16', 'P1', 'P8']"
CC239102,"['P4', 'P8', 'P10']"
CC379848,"['P17', 'P8', 'P12']"
CC360843,"['P12', 'P8', 'P00']"
CC350371,"['P16', 'P8', 'P00']"
CC245151,"['P20', 'P8', 'P12']"
CC245455,"['P17', 'P8', 'P21']"
CC256142,"['P10', 'P8', 'P12']"
CC227989,"['P4', 'P8', 'P10']"
CC375291,"['P17', 'P8', 'P12']"
CC392802,"['P6', 'P8', 'P00']"
CC244232,"['P10', 'P12', 'P8']"
CC394641,"['P12', 'P8', 'P00']"
CC209555,"['P17', 'P8', 'P12']"
CC202032,"['P10', 'P8', 'P12']"
CC219895,"['P13', 'P12', 'P8']"
CC295899,"['P12', 'P8', 'P00']"
CC227086,"['P19', 'P16', 'P13']"
CC276835,"['P20', 'P8', 'P12']"
CC266967,"['P17', 'P12', 'P8']"
CC199902,"['P6', 'P21', 'P8']"
CC377611,"['P10', 'P8', 'P21']"
CC308665,"['P17', 'P12', 'P8']"
CC199094,"['P3', 'P6', 'P21']"
CC240241,"['P17', 'P8', 'P12']"
CC342667,"['P19', 'P16', 'P13']"
CC307904,"['P20', 'P12', 'P8']"
CC367518,"['P17', 'P12', 'P8']"
CC395508,"['P17', 'P12', 'P8']"
CC296793,"['P10', 'P12', 'P6']"
CC325074,"['P19', 'P16', 'P13']"
CC255594,"['P17', 'P12', 'P8']"
CC391658,"['P6', 'P12', 'P8']"
CC382343,"['P17', 'P8', 'P12']"
CC380497,"['P21', 'P8', 'P10']"
CC216576,"['P00', 'P8', 'P12']"
CC199448,"['P6', 'P17', 'P12']"
CC382148,"['P17', 'P8', 'P12']"
CC370747,"['P10', 'P12', 'P8']"
CC292390,"['P12', 'P8', 'P16']"
CC373432,"['P8', 'P12', 'P16']"
CC234752,"['P17', 'P12', 'P8']"
CC389166,"['P19', 'P8', 'P16']"
CC391274,"['P8', 'P12', 'P16']"
CC224384,"['P4', 'P10', 'P8']"
CC199458,"['P13', 'P16', 'P12']"
CC395917,"['P17', 'P8', 'P00']"
CC370393,"['P10', 'P12', 'P8']"
CC311162,"['P12', 'P8', 'P00']"
CC255657,"['P6', 'P8', 'P00']"
CC280121,"['P17', 'P12', 'P8']"
CC379488,"['P20', 'P8', 'P12']"
CC299394,"['P6', 'P12', 'P8']"
CC305490,"['P6', 'P12', 'P8']"
CC232626,"['P17', 'P12', 'P8']"
CC390909,"['P8', 'P16', 'P12']"
CC303719,"['P10', 'P12', 'P6']"
CC389926,"['P17', 'P8', 'P12']"
CC216340,"['P10', 'P8', 'P12']"
CC271888,"['P17', 'P8', 'P12']"
CC394832,"['P17', 'P8', 'P12']"
CC385082,"['P19', 'P8', 'P16']"
CC371719,"['P6', 'P12', 'P8']"
CC363584,"['P8', 'P11', 'P13']"
CC294385,"['P17', 'P12', 'P8']"
CC281662,"['P17', 'P8', 'P12']"
CC367813,"['P10', 'P12', 'P8']"
CC345292,"['P16', 'P8', 'P00']"
CC260359,"['P17', 'P21', 'P8']"
CC367252,"['P17', 'P12', 'P8']"
CC381174,"['P17', 'P8', 'P12']"
CC221969,"['P12', 'P8', 'P00']"
CC266120,"['P17', 'P12', 'P8']"
CC337449,"['P19', 'P16', 'P13']"
CC200603,"['P10', 'P12', 'P8']"
CC386231,"['P19', 'P8', 'P16']"
CC377916,"['P6', 'P12', 'P8']"
CC292246,"['P17', 'P8', 'P12']"
CC351707,"['P19', 'P16', 'P13']"
CC397072,"['P17', 'P8', 'P12']"
CC383739,"['P19', 'P8', 'P16']"
CC387498,"['P12', 'P8', 'P13']"
CC370251,"['P10', 'P12', 'P8']"
CC213517,"['P20', 'P13', 'P16']"
CC377435,"['P10', 'P8', 'P12']"
CC373571,"['P6', 'P12', 'P8']"
CC228690,"['P17', 'P12', 'P8']"
CC393704,"['P17', 'P8', 'P12']"
CC376864,"['P21', 'P8', 'P10']"
CC397338,"['P16', 'P1', 'P8']"
CC221679,"['P6', 'P17', 'P12']"
CC276663,"['P10', 'P8', 'P21']"
CC383165,"['P13', 'P16', 'P11']"
CC301504,"['P17', 'P8', 'P12']"
CC310500,"['P17', 'P8', 'P12']"
CC390570,"['P10', 'P8', 'P12']"
CC373217,"['P17', 'P12', 'P8']"
CC340069,"['P19', 'P16', 'P13']"
CC371734,"['P10', 'P12', 'P8']"
CC229466,"['P17', 'P12', 'P8']"
CC384083,"['P19', 'P8', 'P16']"
CC248938,"['P16', 'P1', 'P8']"
CC218019,"['P12', 'P8', 'P00']"
CC388999,"['P17', 'P12', 'P8']"
CC226003,"['P4', 'P8', 'P10']"
CC395949,"['P12', 'P8', 'P00']"
